Output for adpcm-test.c:
4,3.750,22421,2421,0,14000,2000,2000,15,2,0,9,1,1,1494.733,1210.500,0,1555.556,2000.000,2000.000,2000,2000,00.000,0,0.000,0.000,0.000,0.000,0.000,0
4,3.750,180421,0,15729,110103,15729,23131,15,0,1,9,1,2,12028.067,0,15729.000,12233.667,15729.000,11565.500,15729,15729,00.000,0,0.000,0.000,0.000,0.000,0.000,0
10,9.100,3014809,15729,642203,957711,268050,863066,91,2,21,39,3,20,33129.769,7864.500,30581.095,24556.692,89350.000,43153.300,536100,0,31.333,51,0.333,4.333,6.000,2.000,4.333,0
1,8.000,16000,0,2000,6000,0,8000,8,0,1,3,0,4,2000.000,0,2000.000,2000.000,0,2000.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
14,21.714,964012,135003,0,649006,36000,77000,304,38,0,212,4,41,3171.092,3552.711,0,3061.349,9000.000,1878.049,103003,0,23.000,52,4.000,0.000,17.000,3.000,2.000,0
5,9.200,548000,92000,0,332000,24000,56000,46,6,0,30,1,6,11913.043,15333.333,0,11066.667,24000.000,9333.333,68000,0,13.000,22,4.000,0.000,13.000,3.000,2.000,0
1,34.000,136000,24000,0,88000,0,24000,34,6,0,22,0,6,4000.000,4000.000,0,4000.000,0,4000.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
10,5.400,131904,25215,0,65400,11084,19121,54,6,0,31,3,8,2442.667,4202.500,0,2109.677,3694.667,2390.125,21170,998,14.000,22,5.000,0.000,10.000,4.000,3.000,0
5,6.200,54528,12000,0,30264,4000,8000,31,6,0,17,2,4,1758.968,2000.000,0,1780.235,2000.000,2000.000,4264,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
1,27.000,108000,28000,0,72000,0,8000,27,7,0,18,0,2,4000.000,4000.000,0,4000.000,0,4000.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
15,7.333,886239,134656,0,513139,42054,130720,110,12,0,72,4,12,8056.718,11221.333,0,7126.931,10513.500,10893.333,103788,3936,24.500,63,5.500,0.000,16.000,4.500,5.500,0
10,6.600,232712,51092,0,124356,16000,32000,66,14,0,35,4,8,3525.939,3649.429,0,3553.029,4000.000,4000.000,13264,12000,00.000,0,0.000,0.000,0.000,0.000,0.000,0
8,6.750,172728,36000,0,99152,12000,20000,54,11,0,30,3,6,3198.667,3272.727,0,3305.067,4000.000,3333.333,9576,8000,00.000,0,0.000,0.000,0.000,0.000,0.000,0
5,6.000,55948,10000,0,31974,4000,8000,30,5,0,17,2,4,1864.933,2000.000,0,1880.824,2000.000,2000.000,5974,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
9,32.444,838000,108000,0,589000,22000,77000,292,34,0,209,2,41,2869.863,3176.471,0,2818.182,11000.000,1878.049,64000,0,23.000,60,4.000,0.000,21.000,3.000,2.000,0
17,6.941,794,96,0,458,50,94,118,8,0,82,4,12,6.729,12.000,0,5.585,12.500,7.833,146,0,41.250,76,2.000,0.000,11.250,3.000,2.750,0
1,26.000,0,0,0,0,0,0,26,4,0,17,0,5,0.000,0.000,0,0.000,0,0.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
1,18.000,0,0,0,0,0,0,18,2,0,11,0,5,0.000,0.000,0,0.000,0,0.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
13,6.769,96025,12003,8000,44014,4003,20002,88,10,4,46,3,16,1091.193,1200.300,2000.000,956.826,1334.333,1250.125,12006,0,32.000,72,3.333,1.333,11.667,3.000,4.667,0

Output for bs.c:
1,2.000,2,0,0,0,0,2,2,0,0,0,0,2,1.000,0,0,0,0,1.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
10,5.700,137,24,0,80,12,9,57,8,0,36,3,4,2.404,3.000,0,2.222,4.000,2.250,12,12,18.000,45,8.000,0.000,26.000,8.000,3.000,0

Output for crc.c:
8,5.875,48384,12032,0,16384,4352,9216,47,9,0,20,2,11,1029.447,1336.889,0,819.200,2176.000,837.818,8704,2048,16.000,29,7.000,0.000,9.000,6.000,7.000,0
22,8.591,13448,2461,0,5381,429,4411,189,31,0,79,7,58,71.153,79.387,0,68.114,61.286,76.052,1193,2,24.500,97,8.500,0.000,19.000,4.500,16.500,0
1,35.000,35,6,0,22,0,7,35,6,0,22,0,7,1.000,1.000,0,1.000,0,1.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0

Output for fft1.c:
5,8.200,185,17,16,91,9,35,41,2,2,26,1,7,4.512,8.500,8.000,3.500,9.000,5.000,26,0,13.000,20,2.000,2.000,9.000,3.000,4.000,0
1,6.000,48,0,8,24,0,16,6,0,1,3,0,2,8.000,0,8.000,8.000,0,8.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
37,8.757,130,12,4,84,8,14,324,36,17,203,11,32,0.401,0.333,0.235,0.414,0.727,0.438,12,4,42.125,243,7.500,3.750,37.750,6.250,5.500,0
1,3.000,12,0,0,8,0,4,3,0,0,2,0,1,4.000,0,0,4.000,0,4.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
4,3.750,516,0,45,315,45,66,15,0,1,9,1,2,34.400,0,45.000,35.000,45.000,33.000,45,45,00.000,0,0.000,0.000,0.000,0.000,0.000,0
