Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00201.c,0.0015784998152912548,0.004229266764508412,0.002295630976652621,0.00151783047524454,0.0046746903771899065,0.0017663993787139247,0.0049396909512869095,0.004719113656291177,0.003729857845840556,0.0032057753524556854,0.0019371185762741341,0.0
00202.c,0.0050235086639463175,0.003442343650864939,0.0015436838262069459,0.004085153404872468,0.004225373853527548,0.0028420548162493516,0.0027585073894650764,0.002092970901226395,0.0006750386141887753,0.0006675519643943607,0.001153179589338417,0.0
00203.c,0.0026133812169043045,0.002600224448478521,0.002922677341000134,0.0027894695119122744,0.0032481842963086906,0.00689373190584316,0.0027415282670530316,0.0010975271067186418,-0.00020934364535468827,0.00016389718017942995,0.0006403121227031937,0.0
00204.c,0.004280121042172419,0.0009120572280654893,0.0028889123000825703,0.0019551755383911983,0.0010693704969232656,0.0037974969082409196,0.0026676997503068426,0.004762907448062195,0.0030592244068613174,0.005524825535951653,0.002180231371389289,0.0
00205.c,-0.0007376578545016832,0.0004167501922454043,0.004709571841525967,0.0021071620450075403,0.0023736248003462268,-0.0007069694913624246,0.0034836515189216027,0.003310353978588973,-0.0016995398106806007,-0.0002265004363056957,-0.0009771336038205606,0.0
00206.c,0.0001451181618459439,0.004485409337195379,7.824446563194787e-05,0.0007138828333508559,0.0022935757190688487,0.003697368310294805,0.0013358465365772593,0.005274269294072454,0.0007310175293553252,-9.996391283477724e-05,0.000923924758397697,0.0
00207.c,0.005358345348805995,0.0039460329782846455,0.0020815433277875427,0.001061540412017381,0.0028569293678698034,0.004009281883624022,0.004141004431781488,0.003452549440442907,0.004666103047763946,0.0018232313068902925,0.002703749564516673,0.0
00208.c,0.003433966151243107,0.00237399166413128,-0.0009545552890679818,0.0032903837612609866,-0.002021781571376583,0.0021995925248278776,0.0033957488750647065,0.00031685252077291156,-0.003421245087263682,-0.0008859809796093626,-7.65314532870249e-05,0.0
00209.c,0.0016041784944614095,-0.0014656112666526452,-8.986145385742998e-05,0.0017546323846693536,0.0012121960132955173,0.0035733300685415713,-0.0001503997676699854,0.00139825802326879,-0.0009282849649044094,-0.00010391527288070602,-0.000490733561883039,0.0
00210.c,0.0018566591888540868,0.004416065326118787,0.0053599306862765,0.00485788836116876,0.005635808034122215,0.0033548706187461236,0.006132149752286479,0.0025745259521056593,0.006307874444907819,0.0050810896883416,0.0074207947251703705,0.0
00211.c,0.0010930140228879006,-0.003137539242962677,0.002635372300030227,0.0008934685949804423,-0.000264280280418593,-0.0005304020245389783,0.0018565520255549115,2.769494672684092e-06,0.00024124008678620308,0.0016651399027856068,-5.7323117521135266e-05,0.0
00212.c,-0.0025376835967525486,0.0025052231158877274,0.003844084710415203,0.002187095715412086,0.002230905824007859,0.0023053592979914695,0.0015680615457767438,-0.0014324388450205879,-0.0004645604695198099,0.0002255573271522199,-0.0014633759704162522,0.0
00213.c,0.007574941351842351,0.005146467252210572,0.008121547821862975,0.004332558725585693,0.007131160733986005,0.006201493888234812,0.0059262600014211,0.00362247244974895,0.004483760663119897,0.00501697064686093,0.0023474012244927055,0.0
00214.c,-0.0008726192435278935,-0.003240802044949855,-0.0026358383836022617,-0.002938606336814766,-0.0017056823080963976,-0.0007146418717164714,-0.004036767697869624,-0.0005907539566596755,0.000675410593808362,0.001977502912140526,0.0007921569741444415,0.0
00215.c,0.00250692069399158,0.002190530017602057,0.0032149621925540266,0.001494167892635416,0.0036737564219640573,0.005585733691088683,0.0033982258854831204,0.003159789155941273,0.0026698166734724985,0.002796637335614246,0.0030178532767166466,0.0
